target_date,lead_months,point_id,series_id,input_kind,scenario,model_family,model,feature_set,y_hat,dy_hat
2024-08-01,8,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.067033382549686,-0.1011332879990268
2024-09-01,9,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.160788980610016,0.0937555980603299
2024-10-01,10,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.320070857195018,0.1592818765850025
2024-11-01,11,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.285675365975005,-0.0343954912200127
2024-12-01,12,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.275500401852011,-0.010174964122994
2025-01-01,13,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.082056470454656,-0.1934439313973552
2025-02-01,14,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.91971155521444,-0.1623449152402157
2025-03-01,15,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.8244803747433584,-0.0952311804710816
2025-04-01,16,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.779270466412392,-0.0452099083309669
2025-05-01,17,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.779229694709444,-4.07717029476673e-05
2025-06-01,18,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.82321690257763,0.0439872078681862
2025-07-01,19,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.905542777921434,0.0823258753438042
2025-08-01,20,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,4.993275047203562,0.0877322692821275
2025-09-01,21,08.10.008,Aquifer__08.10.008,Aquifer,Base,ENDO,BayesianRidge,ENDO_LAGS_MONTH,5.1014087781479605,0.1081337309443988
